Year;Mo;Dy;Hr;Mn;Sec;Tsu;Vol;Location Name;Latitude;Longitude;Focal Depth (km);Mag;MMI Int;Deaths;Death Description;Missing;Missing Description;Injuries;Injuries Description;Damage ($Mil);Damage Description;Houses Destroyed;Houses Destroyed Description;Houses Damaged;Houses Damaged Description;Total Deaths;Total Death Description;Total Missing;Total Missing Description;Total Injuries;Total Injuries Description;Total Damage ($Mil);Total Damage Description;Total Houses Destroyed;Total Houses Destroyed Description;Total Houses Damaged;Total Houses Damaged Description
-27;;;;;;;;EGYPT:  THEBES;257;327;;;;;;;;;;;3;;;;;;;;;;;;3;;;;
-26;;;;;;;;CHINA:  SICHUAN:  YIBIN;288;1046;;55;7;13;1;;;;;;2;;;;;13;1;;;;;;2;;;;
-26;;;;;;19;;CYPRUS;35;33;;;9;;;;;;;;;;;;;;;;;;;;;;;;
-15;;;;;0;;;CYPRUS:  SALAMIS;352;34;;;;;;;;;;;4;;;;;;;;;;;;;;;;
10;;;;;0;;;TURKMENISTAN:  NISA;38;583;18;71;10;;;;;;;;3;;;;;;;;;;;;;;;;
11;;;;;0;;;TURKEY;378;274;;;10;;;;;;;;;;;;;;;;;;;;;;;;
17;;;;;;;;TURKEY:  IZMIR, EFES, AYDIN, MANISA, ALASEHIR, SART;3785;273;;;10;;;;;;;;3;;;;;;;;;;;;3;;;;
23;;;;;0;;;GREECE;382;222;;;10;;;;;;;;;;;;;;;;;;;;;;;;
25;;;;;0;;;PAKISTAN;33;72;;;;;;;;;;;3;;;;;;;;;;;;;;;;
27;;;;;0;;;SOUTH KOREA:  KWANGJU;359;1265;;63;8;;;;;;;;3;;;;;;;;;;;;;;;;
29;;;;;0;;;TURKEY:  IZNIK,IZMIT;405;289;;;9;;;;;;;;3;;3;;;;;;;;;;3;;3;;
33;;;;;;;;ISRAEL:  PALESTINE;318;352;;;;;;;;;;;2;;;;;;;;;;;;2;;;;
37;4;9;;;;;;TURKEY:  ANTAKYA (ANTIOCH);361;361;;;;;3;;;;;;4;;;;;;3;;;;;;4;;;;
46;10;23;;;;;;CHINA:  HENAN PROVINCE:  NANYANG;33;1125;;65;8;;2;;;;;;2;;2;;;;2;;;;;;2;;2;;
50;;;;;;;;AFGHANISTAN:  AIKHANUM;37;685;;;;;;;;;;;2;;;;;;;;;;;;2;;;;
52;;;;;0;;;GREECE:  PHILIPPI,DRAMA,KAVALA;41;243;;;;;;;;;;;3;;;;;;;;;;;;;;;;
52;;;;;0;;;TURKEY:  ANTAKYA (ANTIOCH);361;361;;;9;;;;;;;;3;;;;;;;;;;;;;;;;
55;;;;;0;;;GREECE:  CRETE;35;25;;;10;;;;;;;;;;;;;;;;;;;;;;;;
57;;;;;0;;;ALBANIA:  DURRES;412;193;;;10;;;;;;;;;;;;;;;;;;;;;;;;
60;;;;;;;;TURKEY:  LAODICEA, HIERAPOLIS, COLOSSAE, [PAMUKKALE];379;292;;;9;;;;;;;;3;;;;;;;;;;;;3;;;;
62;;;;;;23;;GREECE:  CRETE;352;251;;69;9;;;;;;;;;;;;;;;;;;;;;;;;
63;;;;;;;;ITALY:  POMPEI;407;145;;;10;;;;;;;;;;;;;;;;;;;;;;;;
68;;;;;;5780;;TURKEY:  DEMRE;36217;30017;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;;;;;;26;;CYPRUS:  PAPHOS, SALAMIS;348;32;;;10;;;;;;;;3;;3;;;;;;;;;;3;;3;;
79;8;24;;;;3093;1348;ITALY:  NAPLES (NAPOLI);40821;14426;;;10;;;;;;;;;;;;;2100;4;;;;;;;;;;
89;;;;;0;;;SOUTH KOREA:  KWANGJU;359;1265;;63;8;;3;;;;;;2;;2;;;;3;;;;;;2;;2;;
93;;;;;0;;;TURKEY:  HELLESPONT;406;267;;;;;3;;;;;;3;;;;;;;;;;;;;;;;
100;;;;;;;;SOUTH KOREA:  KYONGJU;358;1292;;63;8;;3;;;;;;2;;3;;;;3;;;;;;2;;3;;
103;;;;;;2284;;UKRAINE:  BLACK SEA;447;333;;7;;;;;;;;;;;;;;;;;;;;;;;;;
105;;;;;;;;TURKEY;395;27;;;10;;;;;;;;;;;;;;;;;;;;;;;;
109;;;;;;;;TURKEY:  GALATIA;40;34;;;;;;;;;;;3;;3;;;;;;;;;;3;;3;;
115;12;13;;;;4396;;TURKEY:  ANTAKYA (ANTIOCH);361;361;;75;11;260000;4;;;;;;4;;;;;260000;4;;;;;;4;;;;
120;;;;;;3096;;TURKEY: NICOMEDIA, NICAEA;4077;2992;;72;9;;3;;;;;;2;;3;;;;3;;;;;;2;;3;;
123;;;;;;3583;;SOUTH KOREA:  KYONGJU;358;1292;;63;8;;;;;;;;1;;2;;;;;;;;;;1;;2;;
128;2;23;;;;;;CHINA:  GANSU PROVINCE:  GANGU;347;1054;;65;8;;2;;;;;;2;;2;;;;2;;;;;;2;;2;;
138;3;1;;;;;;CHINA:  GANSU PROVINCE;358;1035;;68;9;;3;;;;;;3;;3;;;;3;;;;;;3;;3;;
142;;;;;;27;;GREECE:  RHODES;367;28;;7;8;;;;;;;;2;;2;;;;;;;;;;3;;3;;
143;10;;;;;;;CHINA:  GANSU PROVINCE;347;1053;;7;9;;1;;;;;;1;;;;;;1;;;;;;1;;;;
155;;;;;0;;;GREECE:  DODECANESE ISLANDS;365;285;100;;10;;;;;;;;;;;;;;;;;;;;;;;;
170;;;;;0;;;GREECE:TURKEY:  VITINIA,HELLESPONT;39;245;;;;;;;;;;;3;;;;;;;;;;;;;;;;
173;6;28;;;;29;;CHINA:  YELLOW SEA;375;120;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;;;;;;;;TURKEY: IZMIR, AEGEAN ISLANDS;386;2665;;;7;;3;;;;;;2;;;;;;3;;;;;;2;;;;
177;;;;;;3097;;ITALY:  SICILY;38;15;;;9;;;;;;;;3;;;;;;;;;;;;3;;;;
180;9;;;;;;;CHINA:  GANSU PROVINCE;394;995;;75;10;;;;;;;;;;;;;;;;;;;;;;;;
243;;;;;0;;;ITALY:  VERONA,BENACO;453;11;;53;;;;;;;;;4;;;;;;;;;;;;;;;;
251;7;9;;;0;;;GREECE:  CRETE;355;255;;;10;;;;;;;;;;;;;;;;;;;;;;;;
253;7;9;;;0;;;TURKEY;391;272;;;10;;;;;;;;;;;;;;;;;;;;;;;;
258;;;;;;3427;;ITALY:  ROME;419;1245;;;8;;;;;;;;3;1001;4;;;;;;;;;;3;1001;4;;
262;;;;;;31;;TURKEY:  S COASTS: LIBYA;366;30;;;;;3;;;;;;2;;3;;;;3;;;;;;2;;3;;
294;7;;;;;;;CHINA:  ANHUI PROVINCE:  SHOUXIAN;326;1168;;55;7;;1;;;;;;;;;;;;1;;;;;;;;;;
294;9;;;;;;;CHINA:  BEIJING;403;116;;55;7;101;3;;;;;;;;;;;101;3;;;;;;;;;;
304;;;;;0;;;SOUTH KOREA:  KYONGJU;355;1291;;63;8;;3;;;;;;2;;2;;;;3;;;;;;2;;2;;
306;;;;;0;;;LEBANON:  SUR (TYRE), SAYDA (SAIDA);332;351;;;9;;;;;;;;3;;;;;;;;;;;;;;;;
315;;;;;;32;;ISRAEL:  AEROPOLIS;317;355;;;;;;;;;;;1;;;;;;;;;;;;1;;;;
319;6;17;;;;;;CHINA:  GANSU PROVINCE:  XIHE;341;1053;;45;;;2;;;;;;;;;;;;2;;;;;;;;;;
324;8;6;;;0;;;ITALY:  CAMPANIA;405;145;;;10;;;;;;;;;;;;;;;;;;;;;;;;
334;;;;;0;;;ALBANIA:  DURRES;412;193;;;10;;;;;;;;;;;;;;;;;;;;;;;;
340;;;;;0;;;TURKEY:  ANTAKYA (ANTIOCH);361;361;;;9;;;;;;;;3;;;;;;;;;;;;;;;;
341;;;;;0;;;TURKEY:  ANTAKYA (ANTIOCH);362;361;;;7;;;;;;;;;;;;;;;;;;;;;;;;
342;;;;;;;;ALBANIA:  DURRES;413;195;;;10;;;;;;;;2;;;;;;;;;;;;2;;;;
