Year;Mo;Dy;Hr;Mn;Sec;Tsu;Vol;Location Name;Latitude;Longitude;Focal Depth (km);Mag;MMI Int;Deaths;Death Description;Missing;Missing Description;Injuries;Injuries Description;Damage ($Mil);Damage Description;Houses Destroyed;Houses Destroyed Description;Houses Damaged;Houses Damaged Description;Total Deaths;Total Death Description;Total Missing;Total Missing Description;Total Injuries;Total Injuries Description;Total Damage ($Mil);Total Damage Description;Total Houses Destroyed;Total Houses Destroyed Description;Total Houses Damaged;Total Houses Damaged Description
1716;2;16;;;;;;MEXICO:  BAJA CALIFORNIA;29;-114;;;;;;;;;;;2;;;;;;;;;;;;2;;;;
1716;5;;;;;;;ALGERIA:  ALGIERS;368;3;;;;20000;4;;;;;;4;;;;;20000;4;;;;;;4;;;;
1716;9;24;;;;387;752;PHILIPPINES:  TAAL, MANILA, RIZAL, LAGUNA, CAVITE;14002;120993;;;7;;;;;;;;3;;3;;;;1;;;;;;3;;3;;
1716;;;;;;;;CHINA:  S XINJIANG:  AKSU, BALKHASH;412;803;30;75;9;;;;;;;;3;;;;;;;;;;;;3;;;;
1717;5;13;;;0;;;JAPAN:  HANAMAKI;39;1427;;76;;;;;;;;;;;;;;;;;;;;;;;;;
1717;7;28;;;0;;;BALKANS NW:  CROATIA;441;152;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1717;;;;;0;;;PUERTO RICO:  ARECIBO;183;-664;;;;;;;;;;;3;;;;;;;;;;;;;;;;
1718;6;19;;;;;;CHINA:  GANSU PROVINCE;35;1052;;75;10;73000;4;;;;;;4;;4;;;73000;4;;;;;;4;;4;;
1719;5;25;;;0;;;TURKEY;408;294;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1719;;;;;0;;;MOROCCO:  MARRAKECH;314;-8;;;;;;;;;;;3;;;;;;;;;;;;;;;;
1719;;;;;;;;EL SALVADOR:  SAN SALVADOR;;;;;;;3;;;;;;4;;;;;;3;;;;;;4;;;;
1720;7;12;;;;;;CHINA:  HEBEI PROVINCE;404;1155;;68;9;;3;;;;;;2;;2;;;;2;;;;;;2;;2;;
1720;7;15;;;;;;INDIA:  DELHI;29;775;;;;;3;;;;;;2;;;;;;;;;;;;;;;;
1720;8;12;;;0;;;AZORES:  SAO MIGUEL (SAN MIGUEL);38218;-26635;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1720;10;31;;;;;;TAIWAN:  TAINAN;203;1203;;55;7;;3;;;;;;1;;1;;;;3;;;;;;1;;1;;
1720;12;8;;;0;;;AZORES:  ATLANTIC;382;-266;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1720;12;20;4;30;0;;;SWITZERLAND;474;95;;;8;;;;;;;;3;;;;;;;;;;;;;;;;
1721;1;5;;;;;;TAIWAN:  TAINAN;23;1203;;6;8;;3;;;;;;3;;3;;;;3;;;;;;3;;3;;
1721;1;12;;;;;;BALKANS NW:  CROATIA;453;144;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1721;1;14;11;;;;;PHILIPPINES:  NE LUZON:  CAGAYAN VALLEY;18;1215;;;;;;;;;;;2;;;;;;;;;;;;;;;;
1721;4;26;3;;;;;IRAN:  TABRIZ;379;467;;77;;40000;4;;;;;;4;;4;;;40000;4;;;;;;4;;4;;
1721;;;;;;3581;;TAIWAN:  TAINAN;23;1202;;;;2000;4;;;;;;4;;4;;;2000;4;;;;;;4;;4;;
1722;5;22;;;;;;GREECE:  LEFKADA:  DAMILIANI, ATHANI, HAGIOS PETROS;387;206;;;9;;3;;;;;;2;;3;;;;;;;;;;2;;3;;
1722;10;;;;;392;;INDONESIA:  JAVA: DJAKARTA (JAKARTA);-6174;106829;;;9;;;;;;;;;;;;;;;;;;;;;;;;
1722;12;27;16;30;;393;;PORTUGAL:  TAVIRA, ALGARVE;372;-76;;;10;;3;;;;;;2;27;1;;;;3;;;;;;2;27;1;;
1723;2;18;2;;;394;;GREECE:  LEFKADA;385;205;;7;10;;1;;;;;;2;;3;;;;1;;;;;;2;;3;;
1725;1;7;4;25;;;;PERU: TRUJILLO, ANCASH, LIMA;-9;-79;60;77;9;1500;4;;;;;;3;;3;;;1500;4;;;;;;3;;3;;
1725;1;8;13;0;;;;PERU:  AREQUIPA;-164;-708;3;76;7;;;;;;;;1;;;;1;;;;;;;;1;;;;1
1725;1;8;;;;;;CHINA:  YUNNAN PROVINCE:   SONGMING, YILIANG;251;1031;;6;8;614;3;;;184;3;;3;;3;;;614;3;;;184;3;;3;;3;;
1725;2;1;11;;0;;;RUSSIA:  E OF LAKE BAYKAL (BAIKAL);565;1185;50;82;11;;;;;;;;;;;;;;;;;;;;;;;;
1725;3;27;;;;397;;PERU:  CALLAO;-166;-727;50;;7;;;;;;;;;;;;;;;;;;;;2;;;;
1725;8;2;;;;;;CHINA:  SICHUAN PROVINCE:  KANGDING;301;1019;;55;7;;4;;;;;;2;;;;;;4;;;;;;2;;;;
1726;4;1;;;;399;;JAPAN:  KATSUYAMA;363;136;;66;;;;;;;;;;;;;;;3;;;;;;2;;2;;
1726;9;1;;;;3154;;ITALY:  PALERMO, MARSALA, MAZZARA;381;1335;;;9;250;3;;;;;;3;1614;4;;;250;3;;;;;;3;1614;4;;
1727;3;10;;;;;;MEXICO:  MEXICO CITY,OAXACA;192;-991;;;;;;;;;;;3;;;;;;;;;;;;3;;;;
1727;6;20;;;;;;NORTH KOREA:  HAMHUNG;395;1273;;57;7;;;;;;;;2;;;;;;;;;;;;;;;;
1727;7;4;;;;3157;;ITALY:  SCIACCA;375;13;;52;5;;;;;;;;;;;;;;;;;;;;;;;;
1727;11;7;;;0;;;MARTINIQUE;144;-61;;;;;;;;;;;2;;;;;;;;;;;;;;;;
1727;11;18;;;;;;IRAN:  TABRIZ;38;463;;;8;77000;4;;;;;;4;;;;;77000;;;;;;;4;;;;
1728;11;28;;;0;;;PHILIPPINES:  S LUZON:  MANILA;144;121;;;9;;;;;;;;2;;;;;;;;;;;;;;;;
1729;8;1;;;0;;;JAPAN:  NOTO;375;137;;;;5;1;;;;;;2;;;;;;;;;;;;;;;;
1730;3;28;;;0;;;ITALY:  MASSA,CARRARA;44;101;;;9;;3;;;;;;;;;;;;;;;;;;;;;;
1730;5;12;3;15;0;;;ITALY:  NORCIA;428;13;;;10;200;3;;;;;;3;;;;;;;;;;;;;;;;
1730;6;13;;;0;;;AZORES:  LUZ;385;-28;;;11;;;;;;;;;;;;;;;;;;;;;;;;
1730;7;8;8;45;;400;;CHILE:  VALPARAISO;-325;-715;;91;11;2;1;;;;;;3;;3;;;5;1;;;;;;3;;3;;
1730;9;30;;;;;;CHINA:  BEIJING;40;1162;;65;8;658;3;;;;;;4;26000;4;;;658;3;;;;;;4;26000;4;;
1730;11;10;;;;5424;;JAPAN:  KASHIMA;362;1422;;76;;;;;;;;;;;;;;;;;;;;;;;;;
1730;;;;;0;;;PHILIPPINES:  TAYABAS,LAGUNA;141;1214;;;9;;;;;;;;2;;;;;;;;;;;;;;;;
1731;3;20;2;30;;3159;;ITALY:  FOGGIA;415;155;;63;10;3600;4;;;;;;3;;;;;3600;4;;;;;;3;;;;
1731;10;7;;;;401;;KOORI;379;1406;;66;;;;;;;;;;;;;;;;;;;;;;;;;
1731;11;15;;;;;;MEXICO;23;-102;;;;1;1;;;;;;2;;1;;;1;1;;;;;;2;;1;;
1731;;;;;;;;MOROCCO:  SANTA CRUZ (AGADIR);303;-94;;;;;;;;;;;3;;;;;;;;;;;;3;;;;
1732;2;25;;;;404;;S. MEXICO;168;-999;;;;;;;;;;;3;;3;;;;;;;;;;3;;3;;
1732;11;29;;;;;;ITALY:  ARIANO, LUCANIE, AVELLINO;4108;1515;;;10;1940;4;;;;;;3;;3;;;1940;4;;;;;;3;;3;;
1732;12;4;;;;406;;JAPAN:  KUJUKURI BEACH;352;1408;;65;;;;;;;;;;;;;;;;;;;;;;;;;
1732;;;;;;;;ICELAND:  SOUTHERN LOWLAND;;;;;;;;;;;;;3;;3;;;;;;;;;;3;;3;;
1733;8;2;;;;;;CHINA:  YUNNAN PROVINCE:  DONGCHUAN;262;1031;;75;10;;2;;;;;;2;;2;;;;2;;;;;;2;;2;;
1733;11;29;;;0;;;ETHIOPIA:  ERITREA;157;39;;;;;2;;;;;;;;;;;;;;;;;;;;;;
1734;;;;;;;;UNITED KINGDOM:  IRELAND;;;;;;;;;;;;;3;105;3;105;3;;;;;;;;3;105;3;;
1734;;;;;;;;ICELAND:  SOUTHERN LOWLAND;;;;;;;;;;;;;3;;3;;;;;;;;;;3;;3;;
1735;2;2;18;;;;;COLOMBIA:  POPAYAN;26;-765;20;45;;;1;;;;;;3;;3;;;;1;;;;;;3;;3;;
1735;12;27;;;;407;;E. LUZON ISLAND, PHILIPPINES;158;1217;;;;;;;;;;;;;;;;;3;;;;;;2;;3;;
1736;1;30;;;;;;TAIWAN:  TAINAN;231;1203;;6;8;260;3;;;100;2;;2;500;3;;;260;3;;;100;2;;2;500;3;;
1736;12;5;6;;;;;ECUADOR;-841;-78695;;;;;2;;;;;;2;;;;;;2;;;;;;2;;;;
1737;10;11;;;;2691;;INDIA:  CALCUTTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1737;10;16;16;0;;412;;RUSSIA:  KAMCHATKA;511;158;;;;;;;;;;;;;;;;3;1;;;;;;;;;;
1737;11;4;8;;0;;;RUSSIA:  OFF KAMCHATKA;555;163;20;78;10;;;;;;;;;;;;;;;;;;;;;;;;
1737;12;17;;;0;414;;RUSSIA:  KURIL ISLANDS;50;157;50;75;9;;;;;;;;;;;;;;;;;;;;;;;;
1737;12;24;;;;415;;CHILE: VALDIVIA, CHILOE;-43;-74;;8;11;;2;;;;;;2;;2;;;;2;;;;;;2;;2;;
1738;3;30;;;;;;BALKANS NW:  CROATIA:  MEDIMURJE;4645;1639;;51;8;;;;;;;;2;;;;;;;;;;;;2;;;;
1738;5;19;;;;;;CHINA:  SICHUAN PROVINCE;332;1042;;55;7;;2;;;;;;2;;2;;;;2;;;;;;2;;2;;
1738;7;19;;;;416;;GREECE:  MILOS ISLAND:  ZEFIRIA;368;244;;65;;;;;;;;;2;;2;;;;;;;;;;2;;2;;
1738;;;;;;;;CHINA:  QINGHAI PROVINCE;333;966;;65;8;336;3;;;;;;;;;;;336;3;;;;;;;;;;
1739;1;3;;;;;;CHINA:  NINGXIA;389;1065;;8;10;50000;4;;;;;;4;;4;;;50000;4;;;;;;4;;4;;
1739;2;4;;;0;;;BALKANS NW:  SERBIA;44;213;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1739;3;24;;;;;;PERU:  SANTA CATALINA;-141;-732;;;7;;3;;;;;;3;;;;;;3;;;;;;3;;;;
1739;7;14;;;;;;MEXICO:  COLIMA;192;-104;;;;;;;;;;;3;;;;;;;;;;;;;;;;
1739;7;;;;0;;;AZORES:  FLORES;393;-311;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1739;8;16;;;0;;;JAPAN:  N SANRIKU,MUTSU;407;1423;;71;;;;;;;;;2;;;;;;;;;;;;;;;;
1740;8;25;;;;;;MEXICO:  OAXACA,MEXICO CITY;17;-963;;;6;;;;;;;;2;;;;2;;;;;;;;2;;;;2
1740;11;12;;;0;;;BALKANS NW:  SERBIA;451;198;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1741;4;24;;;0;;;ITALY:  FABRIANO;432;126;;;10;;;;;;;;3;;;;;;;;;;;;;;;;
1741;6;23;;;0;;;GREECE;385;205;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1742;2;14;2;;0;;;GREECE:  S;378;21;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1742;3;23;;;;420;;CHILE:  CONCEPCION;-368;-73;;;;;;;;;;;;;;;;;;;;;;;;;;;
1742;6;27;5;30;0;;;RUSSIA: LAKE BAYKAL (BAIKAL);533;104;40;77;10;;;;;;;;;;;;;;;;;;;;;;;;
1742;9;14;;;0;;;GREECE:  S;378;21;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1742;11;18;;;;421;;RUSSIA:  KURIL ISLANDS;505;157;40;75;;;;;;;;;;;;;;;;;;;;;;;;;
1743;1;12;8;;0;;;PHILIPPINES:  LUZON:  TAYABAS,LAGUNA;14;1216;;;10;5;1;;;;;;2;;;;;;;;;;;;;;;;
1743;2;20;23;30;;3164;;ITALY:  SALENTO;403;1735;;69;9;;;;;;;;2;;;;;;;;;;;;2;;;;
1743;9;;;;0;;;PHILIPPINES:  LEYTE;112;1243;;;;;;;;;;;3;;;;;;;;;;;;;;;;
1743;10;18;15;45;0;;;COLOMBIA:  BOGOTA;45;-738;;;;;;;;;;;3;;;;;;;;;;;;;;;;
1744;;;;;;422;;W. LUZON ISLAND, PHILIPPINES;17;121;;;;;;;;;;;;;;;;;;;;;;;;;;;
1746;10;29;3;30;;424;;PERU:  LIMA, CALLAO;-11996;-77198;30;8;11;1141;4;;;;;;4;2975;4;;;5941;4;;;;;;4;;4;;
1746;;;;;;5781;;COSTA RICA:  MATINA;102;-829;;;;;;;;;;;1;;;;;;;;;;;;1;;;;
1747;;;;;;;;PERU:  CARABAYA PROVINCE:  AYAPATA;-139;-7035;20;;9;;3;;;;;;3;;;;;;3;;;;;;3;;;;
1747;;;;;;428;;PHILIPPINES: SE LUZON IS: NAGA;136;1232;;;7;;;;;;;;;;;;;;;;;;;;;;;;
1748;3;6;;;;;;CHINA:  SICHUAN PROVINCE;301;1019;;55;7;15;1;;;;;;1;14;1;;;15;1;;;34;1;;1;14;;;
1748;3;23;6;15;;;;SPAIN:  VALENCE;39;-65;;;9;;3;;;;;;2;;3;;;;3;;;;;;2;;3;;
1748;5;2;;;;;;CHINA:  SICHUAN PROVINCE;329;1036;;55;7;;;;;;;;2;;;;;;;;;;;;2;;;;
1748;5;14;;;;429;;GREECE:  VOSTIZA (EGIO, AIGIO, AEGHION);383;221;;68;9;;;;;;;;3;;3;;;;3;;;;;;3;;3;;
1748;8;30;;;;;;CHINA:  SICHUAN PROVINCE;304;1016;;6;7;5;1;;;;;;1;72;2;;;5;1;;;;;;1;72;2;;
1748;11;21;;;;;;CHINA:  NINGXIA;364;1061;;55;7;40;1;;;;;;2;130;3;;;40;1;;;;;;2;130;3;;
1749;8;12;1;;;431;753;PHILIPPINES:  TAAL VOLCANO;14002;120993;;;9;;;;;;;;3;;3;;;;1;;;;;;3;;3;;
1749;;;;;;;;MEXICO:  COLIMA, GUADALAJARA, MEXICO CITY;207;-1033;;;;;;;;;;;3;;3;;;;;;;;;;3;;3;;
1750;5;24;;;;;;FRANCE:  TARBES, LOURDES;432;8;;;9;;2;;;;;;3;;;;;;2;;;;;;3;;;;
1750;6;7;;;0;;;GREECE:  MOREA,CERIGO;362;23;;;10;2000;4;;;;;;;;;;;;;;;;;;;;;;
1750;9;15;;;;;;CHINA:  YUNNAN PROVINCE;247;1029;;6;8;37;1;;;;;;2;;2;;;37;1;;;;;;2;;2;;
1750;10;;;;;3688;;BULGARIA:  PLOVDIV;421;248;;;10;;;;;;;;3;;3;;3;;;;;;;;3;;3;;
1750;12;17;;;;3165;;BALKANS NW:  CROATIA:  RIJEKA (FIUME);46;1225;;;10;;3;;;;;;3;;3;;;;3;;;;;;3;;3;;
1750;;;;;;;;MEXICO:  COLIMA, GUADALAJARA, MEXICO CITY;207;-1033;;;;;;;;;;;3;;3;;;;;;;;;;3;;3;;
1750;;;;;;434;;MYANMAR (BURMA) COAST;185;934;;;;;;;;;;;;;;;;;;;;;;;;;;;
1750;;;;;;433;;VENEZUELA:  CUMANA;105;-642;;;;;;;;;;;;;;;;;;;;;;;;;;;
1751;4;25;;;0;;;COLOMBIA:  POPAYAN;25;-765;;;;;;;;;;;3;;;;;;;;;;;;;;;;
1751;5;20;;;;439;;JAPAN:  HONSHU:  NW;372;1381;;66;;2100;4;;;;;;4;9100;4;;;2100;4;;;;;;4;9100;4;;
1751;5;25;5;30;;440;;CHILE:  CONCEPCION, CHILLAN, TALCA, TUTUBEN, CURICO;-3683;-7163;;85;11;;;;;;;;3;;3;;;65;2;;;;;;3;;3;;
1751;5;25;;;;;;CHINA:  YUNNAN PROVINCE;265;999;;68;9;900;3;;;;;;4;15712;4;;;900;3;;;;;;4;15712;4;;
1751;6;18;;;;;;GREECE:  SAMOS ISLAND;378;27;;;10;;;;;;;;2;;3;;;;;;;;;;2;;3;;
1751;7;26;19;30;0;;;ITALY:  GUALDO,NOCERA;432;128;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1751;8;18;;;0;;;DOMINICAN REPUBLIC;19;-70;;;;;;;;;;;3;;;;;;;;;;;;;;;;
1751;9;15;0;0;0;2388;;HAITI: PORT:AU:PRINCE;185;-723;0;;;;;;;;;;2;;;;;;;;;;;;;;;;
1751;10;18;19;;0;443;;DOMINICAN REPUBLIC:  AZUA DE COMPOSTELA;185;-707;33;;;;;;;;;;3;;;;;;;;;;;;;;;;
1751;11;21;9;45;;3166;;ITALY:  LIGURIA (LIGURIE), GAULE;438;9;;;7;;;;;;;;1;;;;;;;;;;;;1;;;;
1751;11;21;12;50;0;444;;HAITI:  PORT:AU:PRINCE;185;-723;;;;;;;;;;;3;;;;;;;;;;;;;;;;
1752;4;28;;;;445;;PORTUGAL:  BUARCOS, AVEIRO;404;-87;;;;;;;;;;;;;;;;;;;;;;;;;;;
1752;6;21;;;0;;;SYRIA:  COAST: ISRAEL;35;36;;;8;20000;4;;;;;;;;;;;;;;;;;;;;;;
1752;6;;;;0;;;GREECE:  S;378;21;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1752;;;;;0;;;ISRAEL:  PALESTINE: SYRIA;312;342;;;8;20000;4;;;;;;;;;;;;;;;;;;;;;;
1754;5;15;21;;;;754;PHILIPPINES:  TAAL VOLCANO;14002;120993;;;10;12;1;;;;;;4;;4;;;12;1;;;;;;4;;4;;
1754;8;18;;;;449;;INDONESIA:  AMBON ISLAND;-35;1285;;65;;4;1;;;;;;2;;2;;2;4;1;;;;;;2;;2;;2
1754;9;1;7;0;;452;;MEXICO:  ACAPULCO;168;-992;;;;;;;;;;;3;;3;;;;;;;;;;3;;3;;
1754;9;2;;;;;;EGYPT:  AL:QAHIRAH (CAIRO);308;31;;;;40000;4;;;;;;3;;;;;40000;4;;;;;;;;;;
1754;9;7;;;;453;;INDONESIA:  BANDA SEA;-35;1285;;;;;;;;;;;;;;;;;;;;;;;;;;;
1755;1;27;;;;;;CHINA:  YUNNAN PROVINCE;247;1022;;65;8;270;3;;;80;2;;3;4040;4;;;270;3;;;80;2;;3;4040;4;;
1755;2;8;;;;;;CHINA:  YUNNAN PROVINCE;238;1027;;6;8;70;2;;;20;1;;2;700;3;;;70;2;;;20;1;;2;700;3;;
1755;2;26;;;0;;;BALKANS NW:  SERBIA;425;219;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1755;4;26;;;;;;ECUADOR:  PICHINCHA, QUITO;-2;-785;;7;9;;3;;;;;;3;;3;;;;3;;;;;;3;;3;;
1755;6;7;;;0;;;IRAN:  N:  TABRIZ,KASHAN;34;515;;;;40000;4;;;;;;3;;;;;;;;;;;;;;;;
1755;11;1;9;30;;456;;PORTUGAL:  LISBON;37;-10;;85;11;50000;4;;;;;;4;;4;;4;50000;4;;;;;;4;;4;;4
1755;11;16;15;30;;4284;;SPAIN: CORUNA;434;-11;;;7;;;;;;;;1;;;;;;;;;;;;1;;;;
1755;11;18;9;11;35;459;;MASSACHUSETTS:  EAST OF CAPE ANN;427;-703;;7;8;;;;;;;;2;;;;;;;;;;;;;;;;
1755;11;19;;;;;;MOROCCO:  MEKNES, FES;3408;-5;;;10;3000;4;;;;;;3;;;;;3000;4;;;;;;3;;;;
1755;12;9;13;30;0;;;SWITZERLAND;463;8;;;8;;;;;;;;3;;;;;;;;;;;;;;;;
1755;12;21;9;;;4266;;PORTUGAL:  LISBON;37;-10;;;8;300;3;;;;;;2;;2;;;300;3;;;;;;2;;2;;
1756;3;29;;;;461;;PORTUGAL:  LISBON;387;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;
1757;2;22;;;;;;ECUADOR:  COTOPAXI,TUNGURAHUA, LATACUNGA;-9;-786;;7;9;1000;3;;;;;;3;;;;;;;;;;;;;;;;
1757;4;15;;;;;;MOROCCO:  SALE, CAPE CANTIN;34;-68;;;;3000;4;;;;;;3;;;;;3000;4;;;;;;3;;;;
1757;7;4;;;0;;;BALKANS NW:  CROATIA;458;174;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1757;7;9;23;45;;462;4512;AZORES:  SAO JORGE;3865;-2808;;;11;1053;4;;;;;;3;;4;;;1053;4;;;;;;3;;4;;
1757;7;14;;;0;;;ITALY:  CALABRIA,COSENZA;393;162;;;;;;;;;;;2;;;;;;;;;;;;;;;;
1757;7;15;;;;463;;UNITED KINGDOM:  ENGLAND: ST. MARY, SCILLY ISLANDS;4992;-632;;;;;;;;;;;;;;;;;;;;;;;;;;;
1757;8;6;;;;;;ITALY:  SIRACUSA (SYRACUSE);37;15;;;9;10000;4;;;;;;3;;;;;;;;;;;;;;;;
1757;8;24;;;;465;;INDONESIA:  JAKARTA;-6;107;;75;;;;;;;;;;;;;;;;;;;;;;;;;
1758;1;;;;;;;TUNISIA:  TUNIS, CONSTANTINE;368;102;;;10;3000;4;;;;;;3;;3;;3;3000;4;;;;;;3;;3;;
1758;6;13;;;0;;;AZORES:  LUZ;37;-26;;;11;;;;;;;;;;;;;;;;;;;;;;;;
1759;3;30;13;30;0;;;ITALY:  PINEROLO;449;73;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1759;6;2;1;;0;;;GREECE;38;205;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1759;6;26;;;0;;;GREECE:BULGARIA:  THESSALONIKI: BULGARIA:  PLOVDIV;41;24;;;;;;;;;;;3;;;;;;;;;;;;;;;;
1759;6;29;;;;;;MEXICO:  JORULLO;195;-1023;;;8;;;;;;;;3;;3;;;;;;;;;;3;;3;;
1759;10;30;;;;466;;ISRAEL:  ZEFAT (SAFED);33;355;;64;;;;;;;;;2;;;;;;;;;;;;2;;;;
1759;11;25;;;;;;LEBANON:SYRIA:  BAALBEC: SYRIA: DAMASCUS, ANTIOCH;333;357;;;;30000;4;;;;;;;;;;;;;;;;;;;;;;
1760;7;11;;;;;;CUBA:  SANTIAGO DE CUBA;199;-76;;;8;;;;;;;;2;;;;;;;;;;;;2;;;;
1761;3;30;23;1;;468;;PORTUGAL:  LISBON;345;-13;;85;9;;;;;;;;2;;;;;;;;;;;;2;;;;
1761;5;23;;;;;;CHINA:  YUNNAN PROVINCE;244;1025;;6;8;120;3;;;120;3;;3;1900;4;;;120;3;;;120;3;;3;1900;4;;
1761;11;3;;;;;;CHINA:  YUNNAN PROVINCE;244;1025;;6;7;50;1;;;30;1;;2;960;3;;;50;1;;;30;1;;2;960;3;;
1761;12;9;17;20;0;;;RUSSIA: MONGOLIA;50;90;30;77;10;;;;;;;;;;;;;;;;;;;;;;;;
1762;4;2;;;;471;;BANGLADESH:  CHITTAGONG, DACCA, ARRACAN;22;92;;;11;200;3;;;;;;3;;;;;;3;;;;;;3;;;;
1762;10;31;;;;474;;JAPAN:  NW. HONSHU I. (SADO);381;1387;;66;;;2;;;;;;;;;;;;2;;;;;;1;26;1;;
1763;1;29;;;;475;;JAPAN:  SANRIKU,MUTSU;405;1435;;74;;;;;;;;;;;;;;;;;;;;;2;2;1;;
1763;3;11;;;;476;;N. SANRIKU, JAPAN;41;1425;;78;;;;;;;;;;;;;;;;;;;;;2;;2;;
1763;3;15;;;;477;;JAPAN:  SANRIKU:  HACHINOHE;407;142;;71;;;;;;;;;;;;;;;3;;;;;;3;;3;;
1763;6;28;5;28;;;;HUNGARY:  GYOR: CZECHOSLOVAKIA:  KOMAROM;477;182;;62;9;83;2;;;;;;1;;;;;;;;;;;;;;;;
1763;9;12;;;;479;;INDONESIA:  BANDANEIRA;-6;130;;;;;;;;;;;2;;3;;;7;1;;;;;;2;;3;;
1763;12;30;;;;;;CHINA:  YUNNAN PROVINCE;243;1028;;65;8;1000;3;;;;;;4;4500;4;;;1000;1;;;;;;4;4500;4;;
1764;7;;;;;;;HONDURAS: TRUJILLO;1591;-8596;;65;8;;;;;;;;1;108;3;;;;;;;;;;1;108;3;;
1764;12;26;10;0;;3546;;PORTUGAL:  LISBON;387;-92;;;;;;;;;;;;;;;;;;;;;;;;;;;
1765;4;;;;;;;EL SALVADOR:  SAN SALVADOR;137;-892;;;;50;1;;;;3;;2;;;;;50;1;;;;3;;2;;;;
1765;9;2;;;;;;CHINA:  GANSU PROVINCE:  WUSHAN, GANGU;348;105;;65;9;2068;4;;;;;;4;74748;4;;;2068;4;;;;;;4;74748;4;;
1765;;;;;;5489;;CHILE:  VALPARAISO;-3305;-71617;;;;;;;;;;;;;;;;;;;;;;;;;;;
1766;3;8;;;;487;;JAPAN:  HIROSAKI;409;1407;;69;;1700;4;;;;;;3;8200;4;8200;4;1700;4;;;;;;3;8200;4;;
1766;5;22;5;30;0;2320;;TURKEY;408;29;;65;10;;;;;;;;2;;;;;;;;;;;;2;;;;
1766;6;9;;;0;;;IRAN:  LAR;277;543;;;;;;;;;;;3;;;;;;;;;;;;;;;;
1766;6;12;5;0;;489;;CUBA:  SANTIAGO DE CUBA;199;-761;25;68;9;40;1;;;700;3;;3;;3;;;40;1;;;700;3;;3;;3;;
1766;7;9;21;;0;;;COLOMBIA:  BUGA,CALI,POPAYAN;37;-763;;;9;;;;;;;;3;;;;;;;;;;;;;;;;
1766;7;11;5;6;0;;;GREECE;38;205;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1766;8;25;;;0;;;MARTINIQUE:  SAINT:PIERRE;144;-611;;;8;;;;;;;;2;;1;;;;;;;;;;2;;1;;
1766;10;21;9;;;490;;VENEZUELA:  CUMANA, SAN JUAN BAUTISTA: TRINIDAD;1047;-6417;;75;9;;;;;;;;3;;;;;;;;;;;;3;;;;
1766;;;;;;;;GUATEMALA:  CHIQUIMULA, QUETZALTEPEQUE;147;-895;;;;;;;;;;;2;;;;;;;;;;;;;;;;
1767;4;24;6;0;0;492;;MARTINIQUE & BARBADOS;144;-61;;;;;;;;;;;;;;;;;;;;;;;;;;;
1767;7;11;4;;0;;;GREECE;382;202;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1767;7;14;;;0;;;ITALY:  CRATI;393;162;;;10;40;1;;;;;;3;;;;;;;;;;;;;;;;
1767;11;13;7;25;0;;;PHILIPPINES:  MANILA;142;121;;;7;;;;;;;;2;;;;;;;;;;;;;;;;
1767;11;22;;;;494;;CHINA:  MACAU;222;11355;;;;;;;;;;;;;;;;;;;;;;;;;;;
1768;6;22;;;;496;;PAPUA NEW GUINEA:  NEW IRELAND;-485;1528;;75;;;;;;;;;;;;;;;;;;;;;;;;;
1768;7;22;;;;497;;JAPAN:  RYUKYU ISLANDS;262;1275;;65;;;;;;;;;;;;;;;;;;;;;1;9;1;;
1768;10;19;23;;0;;;ITALY:  SANTA SOFIA;44;12;;;10;120;3;;;;;;3;;;;;;;;;;;;;;;;
1768;11;28;;;0;;;BALKANS NW:  CROATIA;441;152;;;10;;;;;;;;;;;;;;;;;;;;;;;;
1769;5;1;;;;;;IRAQ:  BAGHDAD;33;445;;;7;;;;;;;;3;2000;4;;;;;;;;;;3;2000;4;;
1769;5;7;;;;;;IRAN:  SHIRAZ;294;523;;;;;;;;;;;2;;;;;;;;;;;;;;;;
1769;8;29;;;;499;;SW. KYUSHU ISLAND, JAPAN;323;132;;74;;;;;;;;;2;;;;2;;;;;;;;2;;;;2
1769;10;1;;;0;;;GREECE;388;208;;;10;;;;;;;;;;;;;;;;;;;;;;;;
